intake_date,intake_type,intake_subtype,ken_jurisdiction,ken_zip,outcome_type,animal_id,animal_type,primary_breed,secondary_breed,person_id,src_zip,src_jurisdiction,person_id,own_zip,own_jurisdiction,microchip,microchip_bin
00:00.0,STRAY,FIELD,AUSTIN,78744,RTO,A827512,DOG,GREAT PYRENEES,NULL,P795218,78744,NULL,P795475,78744,NULL,982126059767327,1
00:00.0,STRAY,OTC,AUSTIN,78758,TRANSFER,A827478,CAT,DOMESTIC SH,MIX,P571246,78758,NULL,P773420,78702,NULL,982126052161358,1
00:00.0,STRAY,OTC,AUSTIN,78758,TRANSFER,A827479,CAT,DOMESTIC SH,MIX,P571246,78758,NULL,P773420,78702,NULL,982126052161209,1
00:00.0,STRAY,OTC,AUSTIN,78748,TRANSFER,A827476,CAT,DOMESTIC SH,MIX,P530231,78748,NULL,P070962,78752,AUSTIN,982126059761237,1
00:00.0,STRAY,FIELD,AUSTIN,78751,ADOPTION,A827461,DOG,AUST CATTLE DOG,NULL,P795115,78751,NULL,P796522,76543,NULL,985113004089779,1
00:00.0,STRAY,FIELD,AUSTIN,78744,TRANSFER,A827467,DOG,AUST CATTLE DOG,QUEENSLAND HEEL,P794948,78744,NULL,NULL,NULL,NULL,982126059774646,1
00:00.0,STRAY,FIELD,TRAVIS,78621,ADOPTION,A827482,DOG,GERM SHEPHERD,MIX,P572384,78621,TRAVIS,P796666,32060,NULL,982126059774325,1
00:00.0,STRAY,FIELD,AUSTIN,78741,TRANSFER,A827474,DOG,CHIHUAHUA SH,DACHSHUND,P795072,78741,NULL,P520778,78676,NULL,982126059775364,1
00:00.0,STRAY,OTC,AUSTIN,78753,TRANSFER,A827472,DOG,AUST CATTLE DOG,NULL,P422981,78745,NULL,NULL,NULL,NULL,982126059775465,1
00:00.0,STRAY,FIELD,TRAVIS,78621,ADOPTION,A827480,DOG,STAFFORDSHIRE,MIX,P572384,78621,TRAVIS,P803497,78757,NULL,981020027647425,1
00:00.0,STRAY,OTC,AUSTIN,78704,ADOPTION,A827465,DOG,MALTESE,POODLE MIN,P795182,78704,NULL,P795184,78754,NULL,982126059774157,1
00:00.0,STRAY,OTC,AUSTIN,78704,ADOPTION,A827464,DOG,MALTESE,POODLE MIN,P795182,78704,NULL,P795184,78754,NULL,982126059768001,1
00:00.0,STRAY,FIELD,TRAVIS,78653,ADOPTION,A827455,DOG,GERM SHEPHERD,MIX,P794820,78653,NULL,P795204,78749,NULL,982126059774490,1
00:00.0,STRAY,FIELD,TRAVIS,78653,ADOPTION,A827453,DOG,GERM SHEPHERD,MIX,P794820,78653,NULL,P795204,78749,NULL,982126059774899,1
00:00.0,STRAY,FIELD,AUSTIN,78758,RTO,A827451,DOG,LABRADOR RETR,MIX,P795109,,NULL,P795263,78724,NULL,982126059774416,1
00:00.0,STRAY,FIELD,TRAVIS,78653,ADOPTION,A827454,DOG,GERM SHEPHERD,NULL,P794820,78653,NULL,P774257,78758,NULL,982126059773522,1
00:00.0,STRAY,OTC,AUSTIN,78702,ADOPTION,A827471,CAT,DOMESTIC SH,MIX,P795200,78702,NULL,P289835,78741,AUSTIN,982126059830297,1
00:00.0,STRAY,OTC,AUSTIN,78719,TRANSFER,A827441,DOG,GERM SHEPHERD,ALASKAN HUSKY,P990401,78721,AUSTIN,P520778,78676,NULL,982126059773930,1
00:00.0,STRAY,FIELD,AUSTIN,78735,ADOPTION,A827421,DOG,LABRADOR RETR,MIX,P795002,78753,NULL,P795045,78752,NULL,982126059773849,1
00:00.0,STRAY,FIELD,AUSTIN,78744,TRANSFER,A761479,DOG,DOBERMAN PINSCH,MIX,P794391,78744,NULL,P501176,75050,NULL,985112004895897,1
00:00.0,STRAY,FIELD,TRAVIS,78660,ADOPTION,A827398,DOG,LABRADOR RETR,NULL,P794908,,NULL,P795042,78744,NULL,982126059781611,1
00:00.0,STRAY,FIELD,TRAVIS,78617,ADOPTION,A827407,DOG,SHIBA INU,MIX,P794951,78617,NULL,P643824,78758,NULL,982126059952529,1
00:00.0,STRAY,OTC,TRAVIS,78653,ADOPTION,A827391,DOG,MIN PINSCHER,NULL,P794898,78621,NULL,P708864,78753,NULL,982126059777144,1
00:00.0,STRAY,FIELD,TRAVIS,78617,RTO,A827395,DOG,AUST CATTLE DOG,QUEENSLAND HEEL,P794695,78617,NULL,P554305,78617,NULL,982126059780312,1
00:00.0,STRAY,FIELD,AUSTIN,78754,ADOPTION,A827390,DOG,BORDER COLLIE,NULL,P397397,78754,NULL,P082951,78757,NULL,982091061644700,1
00:00.0,STRAY,FIELD,TRAVIS,78747,ADOPTION,A827372,DOG,GERM SHEPHERD,NULL,P078010,78747,NULL,P796006,78641,NULL,982126059777935,1
